Date,Name,Year,Letterboxd URI,Rating
2022-02-07,"Goodbye, Dragon Inn",2003,https://boxd.it/oFG,4
2022-02-07,Last and First Men,2020,https://boxd.it/kKi0,4
2022-02-07,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,5
2022-02-08,The Matrix Resurrections,2021,https://boxd.it/n87k,4
2022-02-08,Bayonetta: Bloody Fate,2013,https://boxd.it/77W0,4
2022-02-12,The Worst Person in the World,2021,https://boxd.it/oyws,5
2022-02-13,Pig,2021,https://boxd.it/nzoW,5
2022-02-16,Megamind,2010,https://boxd.it/16Sk,3
2022-04-02,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,3
2022-04-03,Green Snake,2021,https://boxd.it/tW3E,3
2022-04-03,Drive My Car,2021,https://boxd.it/sv94,3
2022-04-03,Nightmare Alley,2021,https://boxd.it/m0HC,1
2022-04-03,The Batman,2022,https://boxd.it/eDGs,3
2022-04-15,Adam and Dog,2012,https://boxd.it/4VJO,2
2022-04-15,Double King,2017,https://boxd.it/g2Sq,2
2022-08-30,Balkan Spirit,2013,https://boxd.it/hlV6,1
2022-09-11,Mirror,1975,https://boxd.it/28Q8,0.5
2022-09-12,Dragon Ball Z: The History of Trunks,1993,https://boxd.it/13WI,1
2022-09-16,Night Games,1966,https://boxd.it/Fd0,5
2022-09-17,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,5
2022-09-17,The Girls,1968,https://boxd.it/4mK8,5
2022-10-02,Robinson's Garden,1987,https://boxd.it/3y2A,2
2022-10-09,Lady Vengeance,2005,https://boxd.it/248G,4
2022-10-17,32 Sounds,2022,https://boxd.it/z11I,3
2022-11-05,The Banshees of Inisherin,2022,https://boxd.it/p7XS,5
2022-11-13,Decision to Leave,2022,https://boxd.it/qp9e,5
2022-11-21,Redline,2009,https://boxd.it/2pQ0,5
2022-12-02,The Novelist's Film,2022,https://boxd.it/yZX6,5
2022-12-07,Grave of the Fireflies,1988,https://boxd.it/1RUM,5
2022-12-08,White Noise,2022,https://boxd.it/rXgK,0.5
2022-12-12,Haru,1996,https://boxd.it/7Lo8,5
2022-12-17,Petite Maman,2021,https://boxd.it/s6je,5
2022-12-24,Titane,2021,https://boxd.it/nlQC,5
2022-12-24,Six Shooter,2004,https://boxd.it/1wlG,5
2022-12-25,The Moon and the Son: An Imagined Conversation,2005,https://boxd.it/S9g,1
2022-12-26,"Right Now, Wrong Then",2015,https://boxd.it/bWs4,5
2022-12-26,The Hidden Fortress,1958,https://boxd.it/295M,4
2022-12-28,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2022-12-29,Badlands,1973,https://boxd.it/25Fm,1
2022-12-30,Belfast,2021,https://boxd.it/tefG,0.5
2023-01-03,Millennium Actress,2001,https://boxd.it/1fK0,5
2023-01-07,Shadow of a Doubt,1943,https://boxd.it/1BtA,5
2023-01-08,The Fly,1986,https://boxd.it/1YIe,3
2023-01-14,Flowers of Shanghai,1998,https://boxd.it/Omq,2
2023-01-14,Come and See,1985,https://boxd.it/1w9q,5
2023-01-15,The Hedgehog,2009,https://boxd.it/1ERg,2
