Title,Writer*,Director,Is Adaptation,Language
Inglorious Basterds,Quentin Tarantino,Quentin Tarantino,0,english
The Hateful Eight,Quentin Tarantino,Quentin Tarantino,0,english
Django Unchained,Quentin Tarantino,Quentin Tarantino,0,english
In Bruges,Martin McDonagh,Martin McDonagh,0,english
Seven Psychopaths,Martin McDonagh,Martin McDonagh,0,english
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,Martin McDonagh,0,english
Calvary,John Michael McDonagh,John Michael McDonagh,0,english
Baron Omatsuri and The Secret Island,Masahiro Ito,Mamoru Hosoda,0,japanese
Only Yesterday,Hotaru Okamoto and Yuko Tone,Isao Takahata,1,japanese
Ocean Waves,Saeko Himuro,Tomomi Mochizuki,1,japanese
Porco Rosso,Hayao Miyazaki,Hayao Miyazaki,0,japanese
Princess Mononoke,Hayao Miyazaki,Hayao Miyazaki,0,japanese
My Neighbor Totoro,Hayao Miyazaki,Hayao Miyazaki,0,japanese
Spirited Away,Hayao Miyazaki,Hayao Miyazaki,0,japanese
Howl's Moving Castle,Diana Wynne Jones,Hayao Miyazaki,1,japanese
Kiki's Delivery Service,Eiko Kadono,Hayao Miyazaki,1,japanese
Whisper of The Heart,Aoi Hiiragi,Yoshifumi Kondo,1,japanese
The Tale of Princess Kaguya,Isao Takahata,Isao Takahata,0,japanese
Pom Poko,Isao Takahata,Isao Takahata,0,japanese
The Batman,Matt Reeves,Matt Reeves,0,english
The Tragedy of Macbeth,William Fuckin Shakespeare,Joel Coen,1,english
Burn After Reading,Coen Brothers,Coen Brothers,0,english
No Country for Old Men,Cormac McCarthy,Coen Brothers,1,english
The Worst Person in the World,Eskil Vogt,Joachim Trier,0,norwegian
Paprika,Yasutaka Tsutsui,Satoshi Kon,1,japanese
Tokyo Godfathers,Satoshi Kon,Satoshi Kon,0,japanese
Perfect Blue,Yoshikazu Takeuchi,Satoshi Kon,1,japanese
Memories,"Satoshi Kon (Segment 1), Katsuhiro Otomo (the rest)","Koji Morimoto (Segment 1), See Note",1,japanese
Redline,Katsuhito Ishii,Takeshi Koike,0,japanese
Vampire Hunter D: Bloodlust,Hideyuki Kikuchi,Yoshiaki Kawajiri,1,japanese
Finding Nemo,Andrew Stanton,Andrew Stanton,0,english
The Incredibles,Brad Bird,Brad Bird,0,english
The Iron Giant,Ted Hughes,Brad Bird,1,english
Ratatouille,"Brad Bird, Jan Pinkava, Jim Capobianco",Brad Bird,0,english
Toy Story 3,"John Lasseter, Andrew Stanton, Lee Unkrich",Lee Unkrich,0,english
The Lion King,"Irene Mecchi, Jonathan Roberts, Linda Woolverton, etc.","Roger Allers, Rob Minkoff",0,english
Lilo & Stitch,"Dean DeBlois, Chris Sanders","Dean DeBlois, Chris Sanders",0,english
Mulan,Robert D. San Souci,"Tony Bancroft, Barry Cook",1,english
Moana,"Ron Clements, John Musker","Ron Clements, John Musker, Don Hall",0,english
Shrek,William Steig,"Andrew Adamson, Vicky Jenson",1,english
A Bug's Life,"John Lasseter, Andrew Stanton","John Lasseter, Andrew Stanton, Joe Ranft",0,english
Hercules,"Ron Clements, John Musker","Ron Clements, John Musker",0,english
A Goofy Movie,Jymn Magon,Kevin Lima,0,english
Tarzan,"Tab Murphy, Bob Tzudiker, Noni White","Chris Buck, Kevin Lima",0,english
The Emperor's New Groove,"Chris Williams, Mark Dindal",Mark Dindal,0,english
How to Train Your Dragon,"Will Davies, Dean DeBlois, Chris Sanders","Dean DeBlois, Chris Sanders",0,english
Kungfu Panda,Ethan Reiff,"Mark Osborne, John Stevenson",0,english
The Handmaiden,Sarah Waters,Park Chan-wook,1,korean
Portrait of a Lady on Fire,Celine Sciamma,Celine Sciamma,0,french
Gentlemen Broncos,"Jared Hess, Jerusha Hess",Jared Hess,0,english
Nacho Libre,"Jared Hess, Jerusha Hess, Mike White",Jared Hess,0,english
City On Fire,Ringo Lam,Ringo Lam,0,cantonese
In The Mood for Love,Wong Kar-Wai,Wong Kar-Wai,0,cantonese
"Eat, Drink, Man, Woman","Ang Lee, James Schamus, Hui-Ling Wang",Ang Lee,0,mandarin
The World,Zhangke Jia,Zhangke Jia,0,mandarin
Chungking Express,Wong Kar-Wai,Wong Kar-Wai,0,cantonese
Ikiru,Shinobu Hashimoto,Akira Kurosawa,0,japanese
Like Someone in Love,Abbas Kiarostami,Abbas Kiarostami,0,japanese
Me and You and Everyone We Know,Miranda July,Miranda July,0,english
The Future,Miranda July,Miranda July,0,english
Thou Wast Mild and Lovely,Josephine Decker,Josephine Decker,0,english
Holy Motors,Leos Carax,Leos Carax,0,french
Skyfall,"Neal Purvis, Robert Wade, John Logan",Sam Mendes,0,english
Braveheart,Randall Wallace,Mel Gibson,0,english
Pirates of the Caribbean,"Ted Elliot, Terry Rossio, Stuart Beattie",Gore Verbinski,0,english
The Lord of The Rings,JRR Tolkien,Peter Jackson,0,english
Interstellar,"Jonathan Nolan, Christopher Nolan",Christopher Nolan,0,english
Crayon Shin-chan: The Adult Empire Strikes Back,"Keiichi Hara, Tsutomu Mizushi",Keiichi Hara,0,japanese
Words Bubble Up Like Soda Pop,Dai Sato,Kyohei Ishiguro,0,japanese
The Secret of Kells,Tomm Moore,"Tomm Moore, Nora Twomey",0,english
Song of The Sea,Tomm Moore,Tomm Moore,0,english
Michael Collins,Neil Jordan,Neil Jordan,0,english
I <3 Huckabees,"David O. Russell, Jeff Baena",David O. Russell,0,english
The Little Hours,Giovanni Boccaccio,Jeff Baena,1,english
Bottle Rocket,"Owen Wilson, Wes Anderson",Wes Anderson,0,english
Yojimbo,Akira Kurosawa,Akira Kurosawa,0,japanese
13 Assassins,"Kaneo Ikegami, Shoichirou Ikemiya",Takashi Miike,0,japanese
